anger_index,feature_0,feature_1
0.526,95.95,93.0
0.384,70.15,96.0
0.271,87.95,65.0
0.625,66.1,68.0
0.521,82.39,45.0
0.521,103.62,41.0
0.729,100.01,81.0
0.438,103.54,34.0
0.737,38.17,132.0
0.771,75.5,62.0
0.542,80.1,107.0
0.271,76.5,86.0
0.458,63.87,136.0
0.458,88.0,62.0
0.396,82.39,45.0
0.583,80.1,87.0
0.208,67.76,70.0
0.667,69.79,74.0
0.646,73.2,134.0
0.438,95.94,68.0
0.396,75.69,129.0
0.417,90.09,137.0
0.202,103.7,62.0
0.333,83.85,117.0
0.182,67.76,68.0
0.646,97.03,31.0
0.667,76.23,141.0
0.25,96.03,63.0
0.208,54.71,54.0
0.542,68.7,135.0
0.554,71.82,58.0
0.562,42.72,144.0
0.458,62.11,131.0
0.468,83.32,140.0
0.375,88.0,63.0
0.521,72.72,138.0
0.188,78.88,45.0
0.458,84.84,80.0
0.396,50.24,144.0
0.542,65.3,101.0
0.192,89.86,90.0
0.312,70.0,63.0
0.438,61.33,77.0
0.354,63.87,108.0
0.604,65.3,140.0
0.726,81.73,140.0
0.438,80.78,119.0
0.604,60.71,68.0
0.667,78.71,138.0
0.26,69.79,56.0
0.417,64.93,59.0
0.521,42.55,119.0
0.562,82.39,41.0
0.75,74.81,60.0
0.891,87.3,131.0
0.646,115.13,34.0
0.708,83.01,63.0
0.188,50.47,99.0
0.792,66.41,43.0
0.521,114.12,39.0
0.583,59.75,51.0
0.28,117.16,37.0
0.491,71.78,131.0
0.333,-11.97,119.0
0.438,80.79,133.0
0.458,56.71,67.0
0.667,76.56,98.0
0.625,80.25,131.0
0.458,83.77,140.0
0.468,73.17,96.0
0.417,85.14,113.0
0.583,102.05,40.0
0.812,69.47,111.0
0.458,71.82,49.0
0.604,72.72,131.0
0.479,82.39,49.0
0.417,89.25,120.0
0.542,27.49,88.0
0.208,80.25,113.0
0.484,59.64,137.0
0.354,92.97,44.0
0.417,66.37,122.0
0.583,94.3,51.0
0.417,74.27,97.0
0.562,88.0,57.0
0.396,73.15,112.0
0.458,100.24,39.0
0.604,78.25,52.0
0.479,63.7,90.0
0.625,83.85,74.0
0.5,119.19,28.0
0.438,76.82,127.0
0.389,100.71,80.0
0.354,87.3,134.0
0.5,68.7,132.0
0.688,87.77,133.0
0.271,76.23,113.0
0.542,76.5,62.0
0.729,66.15,132.0
0.479,76.82,117.0
0.375,47.39,143.0
0.75,96.03,77.0
0.531,72.99,124.0
0.646,33.59,20.0
0.5,60.19,103.0
0.646,63.31,140.0
0.688,71.06,96.0
0.479,34.26,129.0
0.604,71.77,121.0
0.25,65.79,124.0
0.729,90.96,40.0
0.646,70.15,132.0
0.333,69.47,101.0
0.312,50.24,119.0
0.938,-6.78,93.0
0.759,95.94,69.0
0.354,83.32,133.0
0.521,44.53,121.0
0.468,85.17,117.0
0.271,68.7,126.0
0.438,85.02,121.0
0.229,103.54,76.0
0.312,85.07,88.0
0.479,95.17,49.0
0.625,76.82,140.0
0.479,58.41,112.0
0.271,72.62,69.0
0.417,42.63,32.0
0.688,85.07,94.0
0.862,59.68,74.0
0.333,74.27,72.0
0.292,100.24,21.0
0.562,75.77,99.0
0.52,89.59,96.0
0.667,87.86,110.0
0.604,70.0,74.0
0.542,44.41,86.0
0.25,50.24,77.0
0.509,83.33,140.0
0.375,102.53,51.0
0.583,89.59,105.0
0.458,103.05,42.0
0.458,76.5,61.0
0.438,90.79,136.0
0.583,88.37,130.0
0.375,83.77,140.0
0.306,103.7,55.0
0.146,66.41,37.0
0.518,59.64,133.0
0.4,88.91,72.0
0.556,41.55,123.0
0.542,37.46,101.0
0.458,83.33,28.0
0.375,74.81,123.0
0.771,68.1,131.0
0.354,95.94,70.0
0.229,102.05,26.0
0.271,52.06,141.0
0.708,72.62,71.0
0.312,103.05,39.0
0.583,66.63,141.0
0.314,82.83,140.0
0.729,62.87,131.0
0.396,56.71,61.0
0.312,73.85,36.0
0.867,84.18,110.0
0.688,50.47,74.0
0.755,80.68,144.0
0.556,76.56,127.0
0.438,96.03,64.0
0.667,94.3,73.0
0.458,78.81,92.0
0.708,65.3,124.0
0.438,56.99,99.0
0.646,59.75,70.0
0.125,103.05,36.0
0.75,61.67,104.0
0.562,65.3,134.0
0.667,95.94,117.0
0.479,90.79,137.0
0.292,67.76,85.0
0.312,77.12,139.0
0.625,89.51,68.0
0.542,85.07,104.0
0.312,81.86,58.0
0.75,71.82,41.0
0.604,68.1,108.0
0.396,40.1,56.0
0.25,63.7,103.0
0.625,36.7,24.0
0.415,65.3,109.0
0.604,53.64,126.0
0.479,66.41,58.0
0.167,61.67,115.0
0.583,66.37,124.0
0.333,90.79,136.0
0.667,57.24,64.0
0.708,81.86,62.0
0.873,55.41,138.0
0.792,-18.17,32.0
0.296,50.62,100.0
0.354,31.56,27.0
0.688,37.27,129.0
0.375,38.49,126.0
0.479,88.91,87.0
0.419,61.45,132.0
0.509,83.32,111.0
0.312,91.0,27.0
0.771,76.23,105.0
0.354,61.89,110.0
0.271,49.55,92.0
0.688,89.9,81.0
0.5,69.68,139.0
0.375,75.77,126.0
0.542,76.23,84.0
0.292,95.94,68.0
0.792,61.33,70.0
0.229,88.0,82.0
0.562,56.99,91.0
0.208,24.07,144.0
0.177,94.3,67.0
0.542,66.15,139.0
0.375,84.9,51.0
0.604,69.47,132.0
0.542,65.3,112.0
0.417,83.01,111.0
0.896,84.18,125.0
0.604,66.37,125.0
0.542,84.84,83.0
0.354,94.04,81.0
0.438,95.95,56.0
0.146,119.19,10.0
0.5,112.09,87.0
0.5,74.27,96.0
0.354,84.05,140.0
0.685,68.7,138.0
0.542,92.97,85.0
0.75,103.01,47.0
0.688,87.95,30.0
0.646,90.09,70.0
0.417,108.03,61.0
0.417,91.0,29.0
0.328,80.68,123.0
0.708,63.02,133.0
0.646,85.14,126.0
0.292,93.48,132.0
0.438,76.56,139.0
0.75,76.83,105.0
0.5,54.71,56.0
0.33,35.95,74.0
0.458,82.39,79.0
0.646,48.55,138.0
0.271,4.92,91.0
0.417,91.53,126.0
0.333,103.38,49.0
0.542,75.3,143.0
0.5,69.79,62.0
0.542,90.13,75.0
0.604,88.37,118.0
0.438,75.5,54.0
0.438,57.24,69.0
0.562,76.23,114.0
0.833,92.21,111.0
0.229,80.31,63.0
0.792,82.39,80.0
0.396,79.16,137.0
0.646,57.61,133.0
0.214,47.6,97.0
0.458,67.54,87.0
0.458,95.69,94.0
0.667,71.78,133.0
0.479,94.3,42.0
0.417,82.39,71.0
0.333,66.37,122.0
0.479,80.31,99.0
0.604,88.0,54.0
0.521,100.24,41.0
0.354,103.05,66.0
0.729,88.83,112.0
0.208,66.8,57.0
0.417,87.95,34.0
0.439,97.03,18.0
0.5,102.05,35.0
0.625,52.27,103.0
0.917,53.98,126.0
0.625,85.14,137.0
0.418,83.32,129.0
0.667,31.98,136.0
0.417,72.62,50.0
0.396,103.54,37.0
0.729,66.4,139.0
0.5,91.0,140.0
0.396,58.43,125.0
0.312,103.54,46.0
0.438,9.71,58.0
0.375,89.51,88.0
0.438,117.16,23.0
0.604,75.77,107.0
0.354,85.17,122.0
0.521,10.57,66.0
0.375,47.83,139.0
0.604,75.77,98.0
0.312,80.78,136.0
0.438,83.33,41.0
0.479,66.15,138.0
0.604,25.8,107.0
0.5,115.13,57.0
0.438,95.94,64.0
0.625,89.9,86.0
0.417,82.39,44.0
0.5,87.95,29.0
0.78,65.3,124.0
0.396,72.99,125.0
0.708,53.98,133.0
0.438,84.8,136.0
0.583,-75.72,131.0
0.729,80.31,75.0
0.417,41.86,97.0
0.479,86.08,123.0
0.396,67.76,78.0
0.229,92.97,51.0
0.271,28.51,70.0
0.479,54.71,44.0
0.583,92.97,55.0
0.438,84.8,116.0
0.25,103.38,50.0
0.5,74.27,128.0
0.333,103.62,67.0
0.521,87.3,137.0
0.386,80.46,98.0
0.375,94.35,138.0
0.354,71.78,109.0
0.067,33.59,42.0
0.448,95.95,76.0
0.472,91.0,26.0
0.604,95.17,58.0
0.521,73.17,76.0
0.375,63.7,80.0
0.375,80.78,120.0
0.438,79.94,131.0
0.877,67.76,78.0
0.394,53.98,111.0
0.646,74.87,140.0
0.375,69.79,140.0
0.479,79.56,77.0
0.479,68.7,136.0
0.676,73.17,90.0
0.604,73.15,138.0
0.5,83.85,114.0
0.289,88.37,104.0
0.521,92.97,40.0
0.667,53.76,136.0
0.333,78.25,58.0
0.5,58.43,128.0
0.562,71.06,133.0
0.25,66.41,29.0
0.125,100.24,29.0
0.625,65.79,124.0
0.625,81.86,76.0
0.688,21.4,140.0
0.341,89.86,86.0
0.5,38.17,126.0
0.729,78.88,34.0
0.312,63.87,140.0
0.325,66.56,139.0
0.708,76.23,126.0
0.438,88.0,71.0
0.646,75.12,104.0
0.292,84.8,129.0
0.542,74.81,66.0
0.157,82.39,58.0
0.583,94.04,135.0
0.37,80.78,111.0
0.125,102.05,54.0
0.417,84.46,106.0
0.333,102.05,31.0
0.812,66.4,138.0
0.312,75.69,137.0
0.396,85.02,101.0
0.479,32.58,30.0
0.729,82.3,139.0
0.625,30.95,114.0
0.312,68.1,140.0
0.509,103.38,57.0
0.688,55.22,121.0
0.271,61.25,47.0
0.375,65.73,100.0
0.792,69.68,138.0
0.646,80.78,124.0
0.271,58.41,142.0
0.375,34.62,24.0
0.629,77.81,135.0
0.562,71.67,140.0
0.625,49.5,61.0
0.646,29.52,42.0
0.292,78.88,36.0
0.583,59.68,68.0
0.717,85.07,105.0
0.604,67.54,96.0
0.562,66.56,140.0
0.833,85.17,87.0
0.458,75.12,140.0
0.396,100.24,27.0
0.417,62.87,108.0
0.322,90.83,139.0
0.562,47.57,138.0
0.542,56.25,113.0
0.688,70.0,56.0
0.5,90.83,103.0
0.479,85.02,122.0
0.525,75.5,57.0
0.333,59.68,72.0
0.132,74.81,107.0
0.396,73.15,139.0
0.646,54.71,60.0
0.5,69.79,140.0
0.521,36.7,13.0
0.562,120.21,22.0
0.312,61.25,35.0
0.271,115.13,44.0
0.583,82.39,43.0
0.648,67.76,114.0
0.396,66.1,74.0
0.5,71.06,88.0
0.417,92.21,95.0
0.421,80.1,101.0
0.438,89.51,73.0
0.417,69.79,134.0
0.146,-250.39,40.0
0.667,89.9,107.0
0.521,62.87,129.0
0.5,69.14,117.0
0.417,65.17,98.0
0.396,46.95,140.0
0.885,67.54,92.0
0.479,82.3,126.0
0.458,83.77,138.0
0.562,88.0,51.0
0.667,84.18,137.0
0.188,88.91,57.0
0.354,85.14,105.0
0.167,42.55,129.0
0.375,71.82,51.0
0.333,95.17,60.0
0.875,97.03,19.0
0.521,16.78,133.0
0.646,80.79,86.0
0.354,116.15,28.0
0.604,62.87,124.0
0.596,55.58,140.0
0.417,119.19,11.0
0.458,31.56,60.0
0.312,39.56,100.0
0.323,74.27,82.0
0.29,71.06,95.0
0.521,87.95,46.0
0.372,71.82,49.0
0.146,78.21,146.0
0.438,120.21,23.0
0.667,71.82,41.0
0.479,97.03,81.0
0.625,69.79,65.0
0.458,85.07,83.0
0.667,83.85,101.0
0.479,46.95,139.0
0.519,120.21,19.0
0.688,84.9,85.0
0.604,48.55,92.0
0.375,64.66,115.0
0.5,84.9,50.0
0.729,36.7,30.0
0.208,88.37,130.0
0.667,62.87,131.0
0.271,73.15,124.0
0.304,91.7,138.0
0.583,85.14,138.0
0.542,50.24,120.0
0.771,66.8,42.0
0.396,94.3,75.0
0.312,68.7,139.0
0.271,63.7,94.0
0.812,62.87,111.0
0.688,83.32,116.0
0.188,97.03,27.0
0.271,47.6,106.0
0.812,95.69,51.0
0.25,102.05,52.0
0.833,70.15,89.0
0.438,82.83,131.0
0.375,108.03,63.0
0.458,100.24,38.0
0.562,61.89,90.0
0.542,81.73,140.0
0.562,95.17,65.0
0.296,122.5,64.0
0.25,84.05,129.0
0.458,88.83,132.0
0.375,50.24,95.0
0.333,73.07,139.0
0.5,42.55,140.0
0.646,68.7,140.0
0.479,95.21,119.0
0.583,72.99,123.0
0.583,76.56,127.0
0.229,117.16,19.0
0.375,82.83,123.0
0.708,64.66,140.0
0.479,65.17,100.0
0.396,78.25,58.0
0.583,42.87,143.0
0.438,54.75,140.0
0.729,50.62,66.0
0.222,103.05,52.0
0.562,73.85,59.0
0.5,86.08,138.0
0.509,66.1,46.0
0.625,58.43,125.0
0.396,112.09,76.0
0.438,52.27,139.0
0.444,49.91,139.0
0.25,103.54,43.0
0.557,76.73,112.0
0.831,87.3,138.0
0.417,54.74,25.0
0.625,101.98,72.0
0.438,76.82,132.0
0.583,54.74,29.0
0.542,76.82,134.0
0.646,75.12,116.0
0.792,63.49,140.0
0.583,56.25,140.0
0.75,53.64,79.0
0.188,92.97,61.0
0.583,96.03,72.0
0.396,103.54,51.0
0.542,89.9,83.0
0.792,61.45,134.0
0.646,56.99,100.0
0.583,49.53,124.0
0.354,44.97,106.0
0.479,32.58,40.0
0.646,35.31,141.0
0.312,84.46,70.0
0.604,76.56,119.0
0.271,79.56,102.0
0.542,84.52,116.0
0.312,42.55,119.0
0.417,93.48,135.0
0.375,103.38,56.0
0.417,89.86,105.0
0.25,96.03,56.0
0.521,76.56,133.0
0.292,100.71,91.0
0.458,54.75,139.0
0.333,90.09,78.0
0.542,50.62,110.0
0.292,50.67,52.0
0.433,78.25,66.0
0.521,63.6,139.0
0.5,54.74,58.0
0.75,49.55,50.0
0.229,80.79,106.0
0.312,76.82,133.0
0.375,72.9,129.0
0.5,68.98,88.0
0.438,58.43,139.0
0.479,68.7,132.0
0.208,73.17,82.0
0.562,61.67,113.0
0.125,100.24,36.0
0.521,66.1,56.0
0.375,86.71,91.0
0.417,95.42,87.0
0.812,75.12,106.0
0.667,63.63,132.0
0.479,76.75,134.0
0.562,80.69,83.0
0.542,90.96,43.0
0.375,80.5,134.0
0.604,40.49,134.0
0.646,72.99,144.0
0.438,58.43,124.0
0.49,83.77,133.0
0.312,37.46,76.0
0.188,69.79,137.0
0.771,69.79,137.0
0.708,77.92,14.0
0.438,83.32,134.0
0.583,103.54,41.0
0.851,92.21,109.0
0.646,59.1,133.0
0.479,57.61,132.0
0.333,83.01,77.0
0.521,68.1,140.0
0.562,66.37,104.0
0.479,92.21,116.0
0.271,58.43,126.0
0.458,86.71,50.0
0.438,47.83,105.0
0.604,95.17,46.0
0.646,95.95,71.0
0.708,60.63,120.0
0.479,83.33,51.0
0.417,76.75,115.0
0.5,83.33,38.0
0.417,41.86,59.0
0.479,67.76,84.0
0.604,66.37,134.0
0.729,55.58,129.0
0.333,87.86,130.0
0.688,37.91,58.0
0.553,103.01,72.0
0.729,73.15,139.0
0.125,94.3,48.0
0.5,59.68,79.0
0.729,104.98,90.0
0.375,95.73,65.0
0.562,90.96,67.0
0.438,84.52,121.0
0.729,80.79,88.0
0.271,66.37,113.0
0.422,89.86,90.0
0.458,103.05,51.0
0.375,90.05,96.0
0.875,89.51,56.0
0.708,103.38,62.0
0.458,66.15,140.0
0.125,54.71,51.0
0.271,41.55,83.0
0.25,79.94,141.0
0.521,92.21,111.0
0.458,68.98,103.0
0.604,62.63,138.0
0.708,80.78,106.0
0.425,85.14,97.0
0.438,55.22,134.0
0.354,65.3,140.0
0.5,121.22,23.0
0.604,88.37,117.0
0.229,71.77,83.0
0.458,89.25,144.0
0.479,103.38,65.0
0.854,72.33,134.0
0.211,49.5,33.0
0.292,39.56,54.0
0.562,50.67,63.0
0.562,86.08,140.0
0.708,36.7,6.0
0.562,90.96,62.0
0.729,82.83,122.0
0.312,76.75,106.0
0.271,56.99,90.0
0.542,47.83,103.0
0.356,116.15,25.0
0.771,62.81,14.0
0.438,56.71,65.0
0.354,58.41,90.0
0.396,102.53,71.0
0.396,95.69,63.0
0.646,70.15,137.0
0.69,49.53,138.0
0.354,90.13,99.0
0.479,78.21,140.0
0.417,103.7,50.0
0.447,76.5,80.0
0.896,61.67,108.0
0.354,51.18,125.0
0.625,85.17,134.0
0.173,76.5,112.0
0.458,64.93,75.0
0.562,84.46,77.0
0.708,11.36,79.0
0.479,43.97,96.0
0.417,34.53,140.0
0.417,88.0,73.0
0.241,76.23,126.0
0.646,89.51,63.0
0.292,59.68,74.0
0.863,62.11,139.0
0.646,90.96,38.0
0.438,100.24,49.0
0.375,48.55,131.0
0.583,28.05,138.0
0.354,34.53,137.0
0.396,83.33,26.0
0.417,68.1,104.0
0.521,79.94,124.0
0.492,54.71,46.0
0.729,80.69,88.0
0.271,84.9,54.0
0.25,86.71,76.0
0.542,59.68,100.0
0.312,101.37,78.0
0.185,74.4,144.0
0.86,33.59,26.0
0.188,88.0,64.0
0.833,56.97,120.0
0.583,72.99,131.0
0.354,108.03,95.0
0.208,39.56,104.0
0.37,78.25,59.0
0.458,40.62,134.0
0.938,99.26,96.0
0.646,53.66,79.0
0.354,103.62,51.0
0.527,87.95,29.0
0.708,71.06,113.0
0.521,89.59,108.0
0.667,91.0,12.0
0.533,61.45,140.0
0.354,11.34,97.0
0.396,94.3,59.0
0.25,76.75,148.0
0.646,96.89,131.0
0.375,91.0,33.0
0.562,42.87,114.0
0.319,80.46,107.0
0.479,65.17,123.0
0.438,41.86,64.0
0.458,15.41,95.0
0.354,93.48,92.0
0.521,55.41,138.0
0.521,-12.81,85.0
0.292,76.32,132.0
0.646,65.17,127.0
0.417,39.34,128.0
0.438,89.59,128.0
0.375,44.41,65.0
0.333,6.38,59.0
0.562,66.1,56.0
0.75,62.63,140.0
0.625,109.04,71.0
0.479,71.78,118.0
0.371,77.68,139.0
0.354,80.46,119.0
0.5,78.81,100.0
0.295,103.62,44.0
0.5,76.56,119.0
0.646,25.46,91.0
0.375,80.5,136.0
0.271,49.5,58.0
0.458,63.02,137.0
0.144,78.88,67.0
0.396,63.31,134.0
0.458,88.37,139.0
0.722,76.56,139.0
0.417,92.97,49.0
0.542,72.99,120.0
0.479,75.5,58.0
0.845,67.33,113.0
0.341,56.99,85.0
0.146,110.06,81.0
0.5,43.97,94.0
0.375,103.54,72.0
0.375,80.69,125.0
0.75,103.38,66.0
0.729,24.38,114.0
0.75,66.1,52.0
0.352,2.11,78.0
0.494,73.85,49.0
0.792,56.97,98.0
0.292,83.32,130.0
0.333,75.5,55.0
0.792,73.2,129.0
0.375,91.53,121.0
0.442,101.98,72.0
0.354,76.5,78.0
0.9,82.39,55.0
0.562,66.4,127.0
0.729,65.79,129.0
0.396,48.53,118.0
0.562,76.32,137.0
0.729,90.83,128.0
0.583,76.73,127.0
0.562,48.55,134.0
0.625,52.27,104.0
0.792,59.75,50.0
0.396,80.5,121.0
0.75,42.72,138.0
0.562,85.14,115.0
0.479,82.39,71.0
0.579,22.42,126.0
0.667,88.0,62.0
0.396,35.31,139.0
0.792,40.1,47.0
0.479,78.25,60.0
0.458,69.79,118.0
0.542,86.71,56.0
0.375,124.69,47.0
0.562,49.55,71.0
0.312,72.62,53.0
0.708,95.17,88.0
0.729,69.79,140.0
0.375,84.9,60.0
0.542,71.77,107.0
0.333,117.16,41.0
0.625,47.39,137.0
0.625,84.9,59.0
0.396,80.31,70.0
0.771,62.11,129.0
0.646,77.92,17.0
0.375,121.22,21.0
0.438,87.95,44.0
0.375,103.05,41.0
0.521,69.81,134.0
0.583,-35.09,40.0
0.792,83.77,110.0
0.542,91.0,24.0
0.578,62.11,136.0
0.121,111.07,50.0
0.583,67.76,109.0
0.458,40.62,132.0
0.438,54.74,80.0
0.729,88.37,103.0
0.5,40.04,135.0
0.812,79.94,135.0
0.167,76.56,131.0
0.481,65.79,132.0
0.312,49.53,139.0
0.414,53.76,142.0
0.438,95.17,64.0
0.571,57.24,84.0
0.208,94.57,85.0
0.271,89.51,72.0
0.741,65.79,137.0
0.667,65.79,123.0
0.438,62.11,139.0
0.417,93.48,111.0
0.479,46.95,134.0
0.562,96.03,63.0
0.208,49.55,88.0
0.5,70.0,128.0
0.625,66.37,110.0
0.417,65.3,126.0
0.333,73.85,33.0
0.75,89.9,88.0
0.521,71.78,116.0
0.75,54.74,25.0
0.562,59.68,91.0
0.775,54.71,55.0
0.417,44.97,110.0
0.625,94.57,87.0
0.708,84.46,136.0
0.354,63.49,79.0
0.646,53.66,69.0
0.231,87.95,41.0
0.53,69.79,55.0
0.354,71.82,42.0
0.373,71.06,106.0
0.25,58.41,102.0
0.75,89.9,77.0
0.208,117.16,20.0
0.708,54.74,51.0
0.333,76.82,112.0
0.85,54.71,45.0
0.583,-72.3,139.0
0.458,94.3,65.0
0.521,90.13,93.0
0.708,96.03,80.0
0.417,66.8,58.0
0.292,103.38,56.0
0.854,91.53,116.0
0.708,76.75,125.0
0.188,73.85,42.0
0.357,68.98,90.0
0.75,53.66,72.0
0.646,56.61,132.0
0.438,71.06,103.0
0.906,-6.64,15.0
0.75,75.5,67.0
0.521,69.81,128.0
0.172,80.69,108.0
0.708,18.42,118.0
0.479,78.25,54.0
0.542,62.81,16.0
0.396,55.22,125.0
0.521,50.67,60.0
0.625,94.3,50.0
0.438,80.31,81.0
0.458,70.0,92.0
0.375,88.37,102.0
0.625,34.62,18.0
0.396,50.24,102.0
0.333,66.41,140.0
0.25,79.16,136.0
0.127,103.38,45.0
0.75,67.54,77.0
0.521,88.0,103.0
0.646,32.51,90.0
0.333,44.41,55.0
0.333,63.49,67.0
0.458,80.69,95.0
0.917,75.12,107.0
0.583,79.16,125.0
0.682,76.83,127.0
0.646,90.09,91.0
0.583,56.97,122.0
0.729,91.53,123.0
0.708,100.24,35.0
0.492,94.3,45.0
0.562,61.89,96.0
0.333,75.88,25.0
0.688,83.33,45.0
0.146,119.19,39.0
0.542,77.81,104.0
0.354,69.68,138.0
0.25,46.95,122.0
0.354,73.2,140.0
0.438,73.85,60.0
0.729,80.5,111.0
0.312,67.54,94.0
0.625,65.3,139.0
0.562,52.58,117.0
0.562,71.82,50.0
0.5,119.19,24.0
0.646,71.77,85.0
0.521,85.43,118.0
0.417,92.97,51.0
0.479,73.17,109.0
0.542,90.09,111.0
0.771,92.87,103.0
0.667,35.65,14.0
0.479,21.4,129.0
0.625,65.3,125.0
0.417,103.54,42.0
0.604,63.63,139.0
0.562,56.97,127.0
0.604,78.88,37.0
0.417,53.64,98.0
0.542,65.79,118.0
0.5,95.69,71.0
0.333,79.56,122.0
